Author,Novel,Position,Length
Wilkie Collins,The Queen of Hearts,3103,250
Wilkie Collins,The Moonstone,4897,250
Wilkie Collins,The Queen of Hearts,1462,250
Wilkie Collins,The Moonstone,1688,250
Wilkie Collins,The Queen of Hearts,2636,250
Wilkie Collins,The Law and the Lady,2687,250
Wilkie Collins,The Moonstone,8448,250
Wilkie Collins,The Law and the Lady,2408,250
Wilkie Collins,The Moonstone,10789,250
Wilkie Collins,The Queen of Hearts,1899,250
Wilkie Collins,The Moonstone,9975,250
Wilkie Collins,The Law and the Lady,7541,250
Wilkie Collins,The Law and the Lady,4131,250
Wilkie Collins,The Moonstone,9712,250
Wilkie Collins,The Moonstone,8203,250
Wilkie Collins,The Moonstone,406,250
Wilkie Collins,The Law and the Lady,2243,250
Wilkie Collins,The Law and the Lady,7741,250
Wilkie Collins,The Moonstone,1759,250
Wilkie Collins,The Moonstone,2989,250
Wilkie Collins,The Moonstone,2732,250
Wilkie Collins,The Law and the Lady,3316,250
Wilkie Collins,The Moonstone,596,250
Wilkie Collins,The Moonstone,9965,250
Wilkie Collins,The Law and the Lady,7617,250
Wilkie Collins,The Queen of Hearts,5900,250
Wilkie Collins,The Law and the Lady,3442,250
Wilkie Collins,The Law and the Lady,282,250
Wilkie Collins,The Law and the Lady,3392,250
Wilkie Collins,The Moonstone,427,250
Wilkie Collins,The Moonstone,5530,250
Wilkie Collins,The Queen of Hearts,109,250
Wilkie Collins,The Moonstone,8250,250
Wilkie Collins,The Law and the Lady,4884,250
Wilkie Collins,The Law and the Lady,9564,250
Wilkie Collins,The Queen of Hearts,3352,250
Wilkie Collins,The Moonstone,2498,250
Wilkie Collins,The Law and the Lady,7619,250
Wilkie Collins,The Law and the Lady,6314,250
Wilkie Collins,The Moonstone,10431,250
Wilkie Collins,The Queen of Hearts,261,250
Wilkie Collins,The Queen of Hearts,2753,250
Wilkie Collins,The Law and the Lady,2686,250
Wilkie Collins,The Law and the Lady,7671,250
Wilkie Collins,The Moonstone,9485,250
Wilkie Collins,The Moonstone,4280,250
Wilkie Collins,The Queen of Hearts,3930,250
Wilkie Collins,The Moonstone,8820,250
Wilkie Collins,The Queen of Hearts,1429,250
Wilkie Collins,The Law and the Lady,3146,250
Wilkie Collins,The Queen of Hearts,4453,250
Wilkie Collins,The Moonstone,7473,250
Wilkie Collins,The Moonstone,7699,250
Wilkie Collins,The Law and the Lady,5790,250
Wilkie Collins,The Law and the Lady,8619,250
Wilkie Collins,The Moonstone,9165,250
Wilkie Collins,The Law and the Lady,23,250
Wilkie Collins,The Moonstone,4945,250
Wilkie Collins,The Law and the Lady,7397,250
Wilkie Collins,The Moonstone,1753,250
Wilkie Collins,The Law and the Lady,2459,250
Wilkie Collins,The Queen of Hearts,6370,250
Wilkie Collins,The Moonstone,782,250
Wilkie Collins,The Queen of Hearts,3957,250
Wilkie Collins,The Law and the Lady,3054,250
Wilkie Collins,The Law and the Lady,3239,250
Wilkie Collins,The Queen of Hearts,952,250
Wilkie Collins,The Law and the Lady,4937,250
Wilkie Collins,The Queen of Hearts,4207,250
Wilkie Collins,The Law and the Lady,9371,250
Wilkie Collins,The Moonstone,520,250
Wilkie Collins,The Queen of Hearts,1294,250
Wilkie Collins,The Law and the Lady,8584,250
Wilkie Collins,The Moonstone,4948,250
Wilkie Collins,The Law and the Lady,2928,250
Wilkie Collins,The Law and the Lady,7704,250
Wilkie Collins,The Moonstone,5537,250
Wilkie Collins,The Moonstone,5768,250
Wilkie Collins,The Moonstone,3843,250
Wilkie Collins,The Law and the Lady,1353,250
Wilkie Collins,The Moonstone,3134,250
Wilkie Collins,The Moonstone,7029,250
Wilkie Collins,The Law and the Lady,5700,250
Wilkie Collins,The Moonstone,9830,250
Wilkie Collins,The Queen of Hearts,1450,250
Wilkie Collins,The Law and the Lady,3160,250
Wilkie Collins,The Moonstone,3799,250
Wilkie Collins,The Moonstone,9351,250
Wilkie Collins,The Law and the Lady,7919,250
Wilkie Collins,The Law and the Lady,9067,250
Wilkie Collins,The Law and the Lady,742,250
Wilkie Collins,The Law and the Lady,5018,250
Wilkie Collins,The Moonstone,10999,250
Wilkie Collins,The Law and the Lady,1947,250
Wilkie Collins,The Moonstone,8254,250
Wilkie Collins,The Queen of Hearts,4001,250
Wilkie Collins,The Queen of Hearts,1397,250
Wilkie Collins,The Moonstone,3386,250
Wilkie Collins,The Moonstone,8752,250
Wilkie Collins,The Queen of Hearts,1411,250
Wilkie Collins,The Queen of Hearts,3338,250
Wilkie Collins,The Law and the Lady,9554,250
Wilkie Collins,The Moonstone,887,250
Wilkie Collins,The Moonstone,8111,250
Wilkie Collins,The Moonstone,1130,250
Wilkie Collins,The Moonstone,1102,250
Wilkie Collins,The Moonstone,6107,250
Wilkie Collins,The Queen of Hearts,3900,250
Wilkie Collins,The Moonstone,8690,250
Wilkie Collins,The Law and the Lady,2510,250
Wilkie Collins,The Law and the Lady,1242,250
Wilkie Collins,The Law and the Lady,4647,250
Wilkie Collins,The Moonstone,5880,250
Wilkie Collins,The Moonstone,5618,250
Wilkie Collins,The Moonstone,11137,250
Wilkie Collins,The Queen of Hearts,6574,250
Wilkie Collins,The Moonstone,1317,250
Wilkie Collins,The Queen of Hearts,4060,250
Wilkie Collins,The Queen of Hearts,56,250
Wilkie Collins,The Queen of Hearts,2452,250
Wilkie Collins,The Moonstone,9324,250
Wilkie Collins,The Queen of Hearts,5871,250
Wilkie Collins,The Moonstone,3345,250
Wilkie Collins,The Moonstone,3943,250
Wilkie Collins,The Moonstone,3641,250
Wilkie Collins,The Law and the Lady,1513,250
Wilkie Collins,The Moonstone,1876,250
Wilkie Collins,The Law and the Lady,5534,250
Wilkie Collins,The Moonstone,4237,250
Wilkie Collins,The Moonstone,9528,250
Wilkie Collins,The Law and the Lady,3829,250
Wilkie Collins,The Law and the Lady,2122,250
Wilkie Collins,The Moonstone,2972,250
Wilkie Collins,The Moonstone,6727,250
Wilkie Collins,The Law and the Lady,7543,250
Wilkie Collins,The Moonstone,8255,250
Wilkie Collins,The Moonstone,873,250
Wilkie Collins,The Queen of Hearts,99,250
Wilkie Collins,The Law and the Lady,5037,250
Wilkie Collins,The Law and the Lady,5043,250
Wilkie Collins,The Moonstone,5484,250
Wilkie Collins,The Moonstone,11092,250
Wilkie Collins,The Queen of Hearts,433,250
Wilkie Collins,The Law and the Lady,8735,250
Wilkie Collins,The Law and the Lady,6899,250
Wilkie Collins,The Law and the Lady,7439,250
