Author,Novel,Position,Length
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,869,150
Joseph Conrad,The Shadow Line A Confession,2048,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,339,150
Joseph Conrad,Typhoon,256,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,5420,150
Joseph Conrad,The Shadow Line A Confession,2511,150
Joseph Conrad,Victory An Island Tale,7616,150
Joseph Conrad,The Shadow Line A Confession,1770,150
Joseph Conrad,The Shadow Line A Confession,2525,150
Joseph Conrad,Victory An Island Tale,4134,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,5459,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,3511,150
Joseph Conrad,The Shadow Line A Confession,536,150
Joseph Conrad,The Shadow Line A Confession,547,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,3739,150
Joseph Conrad,Typhoon,449,150
Joseph Conrad,Victory An Island Tale,2693,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,209,150
Joseph Conrad,Victory An Island Tale,7373,150
Joseph Conrad,Victory An Island Tale,6598,150
Joseph Conrad,Nostromo A Tale of the Seaboard,7648,150
Joseph Conrad,Victory An Island Tale,3164,150
Joseph Conrad,The Shadow Line A Confession,317,150
Joseph Conrad,Victory An Island Tale,5737,150
Joseph Conrad,Nostromo A Tale of the Seaboard,2482,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,990,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,2122,150
Joseph Conrad,Victory An Island Tale,1691,150
Joseph Conrad,Nostromo A Tale of the Seaboard,7879,150
Joseph Conrad,Victory An Island Tale,5461,150
Joseph Conrad,Nostromo A Tale of the Seaboard,6512,150
Joseph Conrad,Nostromo A Tale of the Seaboard,507,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,5676,150
Joseph Conrad,Victory An Island Tale,3384,150
Joseph Conrad,Victory An Island Tale,708,150
Joseph Conrad,Nostromo A Tale of the Seaboard,350,150
Joseph Conrad,Victory An Island Tale,6337,150
Joseph Conrad,The Shadow Line A Confession,140,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,5717,150
Joseph Conrad,Victory An Island Tale,3820,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,234,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,5139,150
Joseph Conrad,Nostromo A Tale of the Seaboard,9487,150
Joseph Conrad,Nostromo A Tale of the Seaboard,850,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,1463,150
Joseph Conrad,Victory An Island Tale,6423,150
Joseph Conrad,Victory An Island Tale,324,150
Joseph Conrad,Typhoon,1397,150
Joseph Conrad,Nostromo A Tale of the Seaboard,8541,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,1185,150
Joseph Conrad,The Arrow of Gold A Story Between Two Notes,331,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,2999,150
Joseph Conrad,Typhoon,756,150
Joseph Conrad,Nostromo A Tale of the Seaboard,8824,150
Joseph Conrad,The Nigger Of The Narcissus A Tale Of The Forecastle,1788,150
Joseph Conrad,Typhoon,356,150
Joseph Conrad,Nostromo A Tale of the Seaboard,1006,150
