Author,Novel,Position,Length
George Eliot,Adam Bede,960,400
George Eliot,"Felix Holt, the Radical",2987,400
George Eliot,The Mill on the Floss,3865,400
George Eliot,The Mill on the Floss,3549,400
George Eliot,The Mill on the Floss,7384,400
George Eliot,Adam Bede,84,400
George Eliot,"Felix Holt, the Radical",3439,400
George Eliot,The Mill on the Floss,6997,400
George Eliot,"Felix Holt, the Radical",2725,400
George Eliot,The Mill on the Floss,8534,400
George Eliot,The Mill on the Floss,955,400
George Eliot,"Felix Holt, the Radical",126,400
George Eliot,"Felix Holt, the Radical",1731,400
George Eliot,Adam Bede,4290,400
George Eliot,"Felix Holt, the Radical",416,400
George Eliot,Adam Bede,8071,400
George Eliot,The Mill on the Floss,3736,400
George Eliot,"Felix Holt, the Radical",4984,400
George Eliot,"Felix Holt, the Radical",1879,400
George Eliot,Adam Bede,1928,400
George Eliot,The Mill on the Floss,5790,400
George Eliot,The Mill on the Floss,3098,400
George Eliot,"Felix Holt, the Radical",6025,400
George Eliot,Adam Bede,6414,400
George Eliot,"Felix Holt, the Radical",7324,400
George Eliot,Adam Bede,7995,400
George Eliot,Adam Bede,7687,400
George Eliot,The Mill on the Floss,292,400
George Eliot,Adam Bede,4617,400
George Eliot,Adam Bede,7822,400
George Eliot,Adam Bede,3803,400
George Eliot,The Mill on the Floss,3301,400
George Eliot,"Felix Holt, the Radical",3077,400
George Eliot,The Mill on the Floss,70,400
George Eliot,Adam Bede,2939,400
George Eliot,Adam Bede,6124,400
George Eliot,The Mill on the Floss,8500,400
George Eliot,"Felix Holt, the Radical",4710,400
George Eliot,"Felix Holt, the Radical",6192,400
George Eliot,Adam Bede,7427,400
George Eliot,"Felix Holt, the Radical",7253,400
George Eliot,"Felix Holt, the Radical",4383,400
George Eliot,The Mill on the Floss,4471,400
George Eliot,"Felix Holt, the Radical",6973,400
George Eliot,"Felix Holt, the Radical",2044,400
George Eliot,Adam Bede,8596,357
George Eliot,"Felix Holt, the Radical",4432,400
George Eliot,Adam Bede,1249,400
George Eliot,The Mill on the Floss,5892,400
