,ROOT,acl,acl:relcl,advcl,advmod,amod,appos,aux,aux:pass,case,cc,ccomp,compound,conj,cop,csubj,csubj:pass,dep,det,discourse,expl,fixed,flat,flat:foreign,flat:name,iobj,mark,nmod,nsubj,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,orphan,parataxis,punct,vocative,xcomp,Author,Novel
0.0033585222502099076,0.061502938706968935,0.011754827875734676,0.008816120906801008,0.016792611251049538,0.06696053736356003,0.05772460117548279,0.0016792611251049538,0.001889168765743073,0.0012594458438287153,0.07577665827036104,0.06108312342569269,0.006507136859781696,0.00020990764063811922,0.07703610411418976,0.004617968094038623,0.002938706968933669,0.0,0.0,0.02120067170445004,0.007136859781696054,0.0,0.003568429890848027,0.0,0.0,0.0020990764063811922,0.010705289672544081,0.020361041141897566,0.0272879932829555,0.086272040302267,0.0025188916876574307,0.0010495382031905961,0.0,0.002938706968933669,0.03631402183039462,0.0906801007556675,0.00020990764063811922,0.017842149454240133,0.1987825356842989,0.0,0.01112510495382032,Андреев,Ангелочек
0.020618556701030927,0.057913887204366285,0.013341419041843541,0.0066707095209217705,0.01485748938750758,0.06822316555488174,0.06064281382656155,0.005761067313523348,0.0018192844147968466,0.002122498483929654,0.08065494238932687,0.04154032747119466,0.005457853244390539,0.0006064281382656155,0.06913280776228017,0.0066707095209217705,0.003941782898726501,0.0,0.0,0.0312310491206792,0.00939963614311704,0.0,0.005761067313523348,0.0,0.0,0.0030321406913280777,0.011522134627046696,0.01607034566403881,0.03244390539721043,0.06397816858702243,0.002122498483929654,0.0033353547604608852,0.0,0.0009096422073984233,0.03426318981200728,0.09520921770770163,0.0018192844147968466,0.016979987871437233,0.19981807155852033,0.0,0.01212856276531231,Андреев,Баргамот и Гараська
0.02054154995331466,0.05658263305322129,0.009523809523809525,0.005415499533146592,0.018674136321195144,0.0704014939309057,0.05919701213818861,0.0028011204481792717,0.0009337068160597573,0.0007469654528478057,0.055275443510737626,0.0776844070961718,0.005042016806722689,0.0005602240896358543,0.10438842203548086,0.008403361344537815,0.002427637721755369,0.0,0.0,0.022782446311858075,0.0067226890756302525,0.0,0.002427637721755369,0.0,0.0,0.002427637721755369,0.006535947712418301,0.019981325863678803,0.019981325863678803,0.08179271708683473,0.0014939309056956115,0.002240896358543417,0.0,0.005042016806722689,0.031932773109243695,0.07394957983193277,0.0009337068160597573,0.01027077497665733,0.20765639589169002,0.0,0.00522875816993464,Андреев,Бездна
0.014901110810078569,0.043890544567867784,0.006502302898943376,0.005147656461663506,0.01842319154700623,0.07884042264968844,0.05201842319154701,0.006502302898943376,0.002167434299647792,0.002167434299647792,0.07477648333784882,0.06691953400162558,0.009211595773503115,0.0,0.07748577621240856,0.005960444324031428,0.003522080736927662,0.0,0.0,0.02655107017068545,0.007044161473855324,0.0,0.010566242210782985,0.000270929287455974,0.0,0.02302898943375779,0.008398807911135195,0.024654565158493635,0.02573828230831753,0.08154971552424817,0.003251151449471688,0.005147656461663506,0.0,0.009211595773503115,0.03061500948252506,0.09021945272283934,0.000270929287455974,0.012733676510430777,0.1625575724735844,0.0,0.009753454348415064,Андреев,Большой шлем
0.019201228878648235,0.055299539170506916,0.005376344086021506,0.0069124423963133645,0.020225294418842805,0.06016385048643113,0.057859703020993344,0.004352278545826933,0.0015360983102918587,0.0005120327700972862,0.07219662058371736,0.07834101382488479,0.0069124423963133645,0.0,0.09600614439324116,0.008704557091653867,0.002048131080389145,0.0,0.0,0.018433179723502304,0.010496671786994368,0.0002560163850486431,0.006144393241167435,0.0002560163850486431,0.0,0.004352278545826933,0.012800819252432157,0.019201228878648235,0.01715309779825909,0.07526881720430108,0.0012800819252432156,0.0017921146953405018,0.0,0.002560163850486431,0.03353814644137225,0.09037378392217102,0.0005120327700972862,0.010240655401945725,0.1912442396313364,0.0,0.008448540706605223,Андреев,В подвале
0.022957461174881837,0.06662165203691199,0.010353364843574162,0.004726536124240378,0.022732388026108486,0.06437092054917848,0.04884087328381724,0.009002925950934054,0.0015755120414134593,0.0018005851901868107,0.07382399279765924,0.04456448345712356,0.005176682421787081,0.00022507314877335134,0.07044789556605897,0.008102633355840648,0.002025658338960162,0.0,0.0,0.021381949133468376,0.007877560207067296,0.0,0.005176682421787081,0.0,0.0,0.002475804636506865,0.009002925950934054,0.017105559306774702,0.024983119513842,0.08192662615349988,0.0027008777852802163,0.0006752194463200541,0.0,0.00337609723160027,0.03578663065496286,0.09025433265811389,0.002025658338960162,0.017555705604321403,0.21111861354940356,0.0,0.009227999099707404,Андреев,В Сабурове
0.021580033777444173,0.057234002627134545,0.010883843122537061,0.007318446237568024,0.018389941827735033,0.07918934133983861,0.04391067742540814,0.0037530493525989865,0.002251829611559392,0.0013135672734096453,0.0729968099080503,0.06905610808782135,0.0058172264965284295,0.000562957402889848,0.07881403640457872,0.006004878964158379,0.0020641771439294425,0.0,0.0,0.03133796209420154,0.006755488834678176,0.0,0.0065678363670482265,0.0,0.0,0.008632013510977669,0.009007318446237568,0.021580033777444173,0.02458247325952336,0.07806342653405893,0.0030024394820791895,0.0015012197410395947,0.0,0.0058172264965284295,0.03171326702946144,0.09157440420341527,0.0009382623381497466,0.012760367798836554,0.17902045411897166,0.0,0.006004878964158379,Андреев,В темную даль
0.004491978609625668,0.05711229946524064,0.007272727272727273,0.009197860962566844,0.016898395721925134,0.07016042780748663,0.05497326203208556,0.005561497326203209,0.001497326203208556,0.0006417112299465241,0.0746524064171123,0.053475935828877004,0.007700534759358289,0.000427807486631016,0.07251336898395722,0.007058823529411765,0.001711229946524064,0.0,0.0,0.032299465240641714,0.007700534759358289,0.0,0.0051336898395721925,0.000213903743315508,0.0,0.005561497326203209,0.008342245989304813,0.02374331550802139,0.024171122994652405,0.09026737967914439,0.001711229946524064,0.0006417112299465241,0.0,0.0038502673796791446,0.04,0.08406417112299465,0.000213903743315508,0.01839572192513369,0.1948663101604278,0.0,0.013475935828877005,Андреев,Валя
0.013125512715340444,0.05086136177194422,0.00697292863002461,0.005742411812961444,0.022559474979491387,0.05660377358490566,0.052502050861361775,0.002871205906480722,0.0016406890894175555,0.0008203445447087777,0.06357670221493027,0.07054963084495489,0.008203445447087777,0.00041017227235438887,0.09023789991796555,0.0061525840853158325,0.004101722723543888,0.0,0.0,0.025840853158326498,0.0036915504511894994,0.0,0.003281378178835111,0.0,0.0,0.007793273174733388,0.008613617719442166,0.02420016406890894,0.026661197703035273,0.09023789991796555,0.0012305168170631665,0.00041017227235438887,0.0,0.0012305168170631665,0.044708777686628384,0.08982772764561116,0.00041017227235438887,0.017227235438884332,0.18990976210008204,0.0,0.007793273174733388,Андреев,Друг
0.020003361909564633,0.050932929904185575,0.006891914607497059,0.0045385779122541605,0.014960497562615565,0.06791057320558078,0.050260547991259036,0.005042864346949067,0.001176668347621449,0.0008404773911581779,0.0727853420742982,0.07362581946545638,0.004874768868717431,0.00016809547823163558,0.10035300050428643,0.007228105563960329,0.0008404773911581779,0.0,0.0,0.024541939821818792,0.00874096486804505,0.0,0.004370482434022525,0.0,0.0,0.004706673390485796,0.008404773911581778,0.018658598083711547,0.020171457387796268,0.07446629685661456,0.0016809547823163557,0.0025214321734745334,0.0,0.005210959825180703,0.027903849386451504,0.08993108085392502,0.0010085728693898135,0.018322407127248277,0.1975121869221718,0.0,0.009413346780971592,Андреев,Иностранец
